Estacion: Potrero del Clavillo,,,,
Parametro: Aforos,,,,
,,,,
Fecha y Hora,Altura Escala [m],Caudal Liquido [m3/s],Caudal Solido Grueso [kg/s],Caudal Solido Fino [kg/s]
01/09/1986 09:20:00 a.m.,"0,4","1,652",,
02/09/1986 09:00:00 a.m.,"0,4","1,676",,
03/09/1986 09:20:00 a.m.,"0,4","1,755",,
04/09/1986 09:30:00 a.m.,"0,39","1,746",,
05/09/1986 10:00:00 a.m.,"0,4","1,697",,
06/09/1986 08:50:00 a.m.,"0,4","1,69",,
07/09/1986 10:00:00 a.m.,"0,4","1,685",,
08/09/1986 08:40:00 a.m.,"0,4","1,685",,
09/09/1986 09:00:00 a.m.,"0,39","1,732",,
10/09/1986 09:10:00 a.m.,"0,39","1,759",,
11/09/1986 09:30:00 a.m.,"0,39","1,755",,
12/09/1986 08:40:00 a.m.,"0,39","1,736",,
13/09/1986 08:30:00 a.m.,"0,39","1,772",,
14/09/1986 10:00:00 a.m.,"0,39","1,67",,
15/09/1986 10:00:00 a.m.,"0,39","1,723",,
16/09/1986 08:50:00 a.m.,"0,41","1,947",,
17/09/1986 09:40:00 a.m.,"0,39","1,762",,
18/09/1986 09:30:00 a.m.,"0,39","1,746",,
19/09/1986 08:50:00 a.m.,"0,39","1,721",,
20/09/1986 08:40:00 a.m.,"0,39","1,712",,
21/09/1986 09:00:00 a.m.,"0,39","1,783",,
22/09/1986 08:40:00 a.m.,"0,38","1,726",,
23/09/1986 09:20:00 a.m.,"0,39","1,77",,
24/09/1986 09:10:00 a.m.,"0,39","1,711",,
25/09/1986 09:00:00 a.m.,"0,39","1,727",,
26/09/1986 08:45:00 a.m.,"0,4","1,815",,
27/09/1986 09:15:00 a.m.,"0,41","2,079",,
28/09/1986 09:00:00 a.m.,"0,4","2,026",,
29/09/1986 10:00:00 a.m.,"0,39","1,852",,
30/09/1986 09:05:00 a.m.,"0,39","1,787",,
01/10/1986 09:25:00 a.m.,"0,39","1,723",,
02/10/1986 08:30:00 a.m.,"0,4","1,812",,
03/10/1986 08:50:00 a.m.,"0,4","1,784",,
04/10/1986 10:00:00 a.m.,"0,39","1,838",,
05/10/1986 09:50:00 a.m.,"0,39","1,805",,
06/10/1986 09:00:00 a.m.,"0,39","1,763",,
07/10/1986 10:00:00 a.m.,"0,41","2,1",,
08/10/1986 08:45:00 a.m.,"0,45","2,524",,
09/10/1986 10:00:00 a.m.,"0,42","2,199",,
10/10/1986 08:40:00 a.m.,"0,41","1,951",,
11/10/1986 08:45:00 a.m.,"0,4","1,874",,
12/10/1986 08:30:00 a.m.,"0,39","1,768",,
13/10/1986 08:50:00 a.m.,"0,39","1,748",,
14/10/1986 08:50:00 a.m.,"0,39","1,754",,
15/10/1986 09:05:00 a.m.,"0,39","1,721",,
16/10/1986 09:10:00 a.m.,"0,38","1,675",,
17/10/1986 09:25:00 a.m.,"0,52","3,898",,
18/10/1986 10:10:00 a.m.,"0,46","2,671",,
19/10/1986 09:00:00 a.m.,"0,44","2,452",,
20/10/1986 08:20:00 a.m.,"0,43","2,172",,
21/10/1986 09:10:00 a.m.,"0,42","2,119",,
22/10/1986 09:20:00 a.m.,"0,4","1,924",,
23/10/1986 08:55:00 a.m.,"0,4","1,893",,
24/10/1986 08:20:00 a.m.,"0,4","1,85",,
25/10/1986 08:10:00 a.m.,"0,4","1,828",,
26/10/1986 09:10:00 a.m.,"0,4","1,789",,
27/10/1986 08:30:00 a.m.,"0,4","1,763",,
28/10/1986 09:10:00 a.m.,"0,39","1,765",,
29/10/1986 08:40:00 a.m.,"0,4","1,825",,
30/10/1986 09:00:00 a.m.,"0,39","1,695",,
31/10/1986 08:55:00 a.m.,"0,39","1,672",,
01/11/1986 08:15:00 a.m.,"0,39","1,682",,
02/11/1986 10:10:00 a.m.,"0,39","1,694",,
03/11/1986 08:37:00 a.m.,"0,4","1,717",,
04/11/1986 08:55:00 a.m.,"0,4","1,745",,
05/11/1986 09:15:00 a.m.,"0,39","1,619",,
06/11/1986 09:25:00 a.m.,"0,39","1,647",,
07/11/1986 08:30:00 a.m.,"0,39","1,581",,
08/11/1986 09:45:00 a.m.,"0,39","1,598",,
09/11/1986 10:00:00 a.m.,"0,39","1,601",,
10/11/1986 09:00:00 a.m.,"0,39","1,591",,
11/11/1986 08:40:00 a.m.,"0,38","1,541",,
12/11/1986 09:20:00 a.m.,"0,39","1,606",,
13/11/1986 08:50:00 a.m.,"0,38","1,505",,
14/11/1986 08:20:00 a.m.,"0,38","1,493",,
15/11/1986 08:10:00 a.m.,"0,37","1,472",,
16/11/1986 08:20:00 a.m.,"0,4","1,961",,
17/11/1986 08:40:00 a.m.,"0,38","1,708",,
18/11/1986 08:35:00 a.m.,"0,38","1,714",,
19/11/1986 08:45:00 a.m.,"0,38","1,535",,
20/11/1986 09:20:00 a.m.,"0,41","2,205",,
21/11/1986 10:00:00 a.m.,"0,4","1,931",,
22/11/1986 10:00:00 a.m.,"0,6","6,671",,
22/11/1986 03:10:00 p.m.,"0,6","7,175",,
22/11/1986 04:50:00 p.m.,"0,8","10,172",,
23/11/1986 09:30:00 a.m.,"0,6","6,172",,
24/11/1986 09:00:00 a.m.,"0,6","6,574",,
25/11/1986 10:10:00 a.m.,"0,45","4,659",,
26/11/1986 09:30:00 a.m.,"0,36","3,529",,
27/11/1986 08:40:00 a.m.,"0,35","3,258",,
28/11/1986 08:40:00 a.m.,"0,35","3,146",,
28/11/1986 06:20:00 p.m.,"1,25","30,933",,
29/11/1986 08:45:00 a.m.,"0,37","3,377",,
30/11/1986 08:30:00 a.m.,"0,33","2,627",,
01/12/1986 08:40:00 a.m.,"0,32","2,489",,
02/12/1986 08:10:00 a.m.,"0,32","2,179",,
03/12/1986 09:00:00 a.m.,"0,28","2,131",,
04/12/1986 09:15:00 a.m.,"0,3","2,069",,
05/12/1986 09:40:00 a.m.,"0,28","2,099",,
06/12/1986 09:46:00 a.m.,"0,3","1,993",,
07/12/1986 08:40:00 a.m.,"0,27","1,935",,
09/12/1986 09:15:00 a.m.,"0,3","1,921",,
10/12/1986 11:10:00 a.m.,"0,28","2,046",,
11/12/1986 09:05:00 a.m.,"0,3","2,051",,
12/12/1986 08:55:00 a.m.,"0,29","1,897",,
13/12/1986 09:05:00 a.m.,"0,3","1,97",,
14/12/1986 10:20:00 a.m.,"0,29","2,07",,
15/12/1986 08:55:00 a.m.,"0,28","2,136",,
16/12/1986 09:00:00 a.m.,"0,27","2,057",,
17/12/1986 09:50:00 a.m.,"0,3","1,921",,
17/12/1986 03:25:00 p.m.,"0,8","13,424",,
18/12/1986 09:20:00 a.m.,"0,47","5,74",,
19/12/1986 09:00:00 a.m.,"0,65","9,077",,
20/12/1986 09:22:00 a.m.,"0,45","5,279",,
21/12/1986 09:00:00 a.m.,"0,47","4,589",,
21/12/1986 08:35:00 p.m.,"0,85","13,029",,
22/12/1986 08:30:00 a.m.,"0,5","5,488",,
23/12/1986 08:40:00 a.m.,"0,47","4,51",,
24/12/1986 08:10:00 a.m.,"0,46","4,368",,
25/12/1986 09:10:00 a.m.,"0,75","12,233",,
26/12/1986 10:00:00 a.m.,"0,5","5,514",,
27/12/1986 09:25:00 a.m.,"0,45","4,646",,
27/12/1986 08:15:00 p.m.,2,"84,307",,
27/12/1986 08:45:00 p.m.,3,"138,251",,
28/12/1986 09:20:00 a.m.,2,"48,709",,
29/12/1986 08:10:00 a.m.,"1,8","32,83",,
30/12/1986 08:20:00 a.m.,"1,6","25,208",,
31/12/1986 09:30:00 a.m.,"1,4","15,2",,
02/01/1987 09:35:00 a.m.,"1,6","33,105",,
03/01/1987 09:00:00 a.m.,"1,6","31,488",,
04/01/1987 11:00:00 a.m.,"1,5","24,108",,
05/01/1987 11:30:00 a.m.,"1,4","17,819",,
05/01/1987 04:10:00 p.m.,"1,7","38,723",,
06/01/1987 09:25:00 a.m.,"1,4","17,576",,
07/01/1987 09:30:00 a.m.,"1,4","17,941",,
08/01/1987 09:00:00 a.m.,"1,3","8,357",,
09/01/1987 04:00:00 p.m.,"1,4","16,829",,
10/01/1987 09:10:00 a.m.,"1,6","32,525",,
11/01/1987 09:40:00 a.m.,"1,2","10,896",,
12/01/1987 10:40:00 a.m.,"1,2","11,69",,
13/01/1987 10:25:00 a.m.,"1,1","10,746",,
14/01/1987 04:00:00 p.m.,"1,2","11,462",,
15/01/1987 08:35:00 a.m.,"1,2","11,296",,
16/01/1987 10:32:00 a.m.,"1,2","11,837",,
17/01/1987 11:00:00 a.m.,"1,15","9,41",,
18/01/1987 08:30:00 a.m.,"1,1","10,345",,
19/01/1987 08:30:00 a.m.,"1,1","8,746",,
20/01/1987 10:30:00 a.m.,"1,1","9,031",,
10/02/1987 11:40:00 a.m.,"2,3","5,458",,
11/02/1987 10:00:00 a.m.,"2,2","4,693",,
12/02/1987 09:40:00 a.m.,"2,2","4,599",,
13/02/1987 09:50:00 a.m.,"2,15","4,173",,
14/02/1987 09:00:00 a.m.,"2,15","4,182",,
15/02/1987 09:10:00 a.m.,"2,15","4,039",,
16/02/1987 09:10:00 a.m.,"2,1","4,042",,
17/02/1987 09:10:00 a.m.,"2,2","5,107",,
18/02/1987 09:10:00 a.m.,"2,15","3,715",,
19/02/1987 09:20:00 a.m.,"2,15","4,672",,
20/02/1987 10:00:00 a.m.,"2,15","3,647",,
21/02/1987 09:45:00 a.m.,"2,15","4,027",,
22/02/1987 09:20:00 a.m.,"2,1","3,766",,
23/02/1987 10:00:00 a.m.,"2,05","3,792",,
24/02/1987 10:45:00 a.m.,2,"3,228",,
25/02/1987 10:28:00 a.m.,"1,95","3,153",,
26/02/1987 09:30:00 a.m.,2,"3,381",,
27/02/1987 09:10:00 a.m.,"1,95","3,215",,
28/02/1987 09:20:00 a.m.,2,"3,418",,
08/03/1989 09:20:00 a.m.,"1,1","3,846",,
09/03/1989 08:30:00 a.m.,"1,05","3,149",,
13/03/1989 09:35:00 a.m.,1,"2,94",,
16/03/1989 08:45:00 a.m.,"0,98","3,113",,
18/03/1989 08:35:00 a.m.,"0,95","2,672",,
21/03/1989 08:20:00 a.m.,"0,94","2,482",,
23/03/1989 08:50:00 a.m.,"0,93","2,634",,
26/03/1989 08:50:00 a.m.,"1,6","18,907",,
27/03/1989 08:50:00 a.m.,"1,15","4,172",,
28/03/1989 08:35:00 a.m.,"1,12","3,879",,
30/03/1989 07:20:00 a.m.,"1,55","17,171",,
31/03/1989 08:40:00 a.m.,"1,3","5,032",,
01/04/1989 08:30:00 a.m.,"1,28","4,898",,
02/04/1989 09:30:00 a.m.,"1,26","4,592",,
05/04/1989 08:35:00 a.m.,"1,22","3,221",,
06/04/1989 08:30:00 a.m.,"1,2","2,91",,
13/04/1989 09:05:00 a.m.,"1,16","2,861",,
