Estacion: RUTA PROVINCIAL Nº 157 - ATAHONA,,,,
Parametro: Aforos,,,,
,,,,
Fecha y Hora,Altura Escala [m],Caudal Liquido [m3/s],Caudal Solido Grueso [kg/s],Caudal Solido Fino [kg/s]
30/05/2004 09:30:00 a.m.,"1,73","13,784","36,773","0,644"
25/06/2004 04:15:00 p.m.,"1,6","9,522","2,414","0,512"
20/07/2004 04:25:00 p.m.,"1,55","7,115","0,632","0,905"
19/08/2004 01:20:00 p.m.,"1,48","3,859","24,192","1,447"
15/09/2004 04:00:00 p.m.,"1,43","1,655","0,03","0,046"
13/10/2004 04:05:00 p.m.,"1,37","0,771","0,033","0,044"
17/11/2004 04:40:00 p.m.,"1,71","9,493","1,748","1,3"
02/12/2004 08:30:00 a.m.,"1,66","13,169","2,151","6,721"
15/12/2004 03:20:00 p.m.,"1,7","11,736","2,003","0,831"
06/01/2005 08:50:00 a.m.,"1,85","22,069","11,663","4,309"
19/01/2005 01:45:00 p.m.,"1,74","17,643","1,121","2,078"
02/02/2005 01:45:00 p.m.,"1,925","23,412","14,934","6,622"
16/02/2005 01:35:00 p.m.,"1,66","8,692","0,889","1,667"
02/03/2005 03:30:00 p.m.,"2,33","57,622","30,058","51,782"
16/03/2005 03:05:00 p.m.,"1,93","24,508","0,34","2,204"
06/04/2005 03:45:00 p.m.,"2,05","38,229","39,403","10,377"
20/04/2005 04:00:00 p.m.,"1,85","21,933","9,049","2,743"
06/05/2005 01:30:00 p.m.,"1,78","14,937","3,224","0,738"
18/05/2005 11:25:00 a.m.,"1,72","12,17","2,497","0,619"
17/06/2005 09:30:00 a.m.,"1,8","13,567","4,064","0,789"
07/07/2005 01:30:00 p.m.,"1,64","7,529","4,196","1,452"
12/08/2005 02:30:00 p.m.,"1,54","3,55","3,812","0,539"
12/09/2005 09:30:00 a.m.,"1,52","2,849","0,321","0,246"
13/10/2005 04:00:00 p.m.,"1,41","1,346","0,08","0,117"
22/11/2005 03:00:00 p.m.,"1,74","10,66","1,575","0,734"
06/12/2005 01:50:00 p.m.,"2,275","35,523","17,443","3,856"
27/12/2005 02:30:00 p.m.,"2,1","31,909","12,518","1,903"
09/01/2006 07:05:00 p.m.,"1,69","15,017","3,332","1,889"
26/01/2006 03:00:00 p.m.,"2,08","35,093","22,197","5,853"
07/02/2006 10:45:00 a.m.,"2,04","38,268","11,437","9,464"
21/02/2006 02:30:00 p.m.,"1,8","15,908","3,037","1,165"
08/03/2006 04:20:00 p.m.,"1,72","11,923","0,664","0,701"
17/03/2006 03:30:00 p.m.,"2,45","60,651","43,594","25,929"
07/04/2006 04:10:00 p.m.,"2,34","43,553","73,253","10,643"
26/04/2006 03:00:00 p.m.,"1,74","13,632","4,587","0,618"
09/05/2006 02:30:00 p.m.,"2,095","28,147","11,43","4,052"
23/05/2006 02:30:00 p.m.,"1,75","11,558","4,684","0,653"
08/06/2006 03:00:00 p.m.,"1,68","8,367","1,05","0,576"
06/07/2006 02:30:00 p.m.,"1,6","5,265","0,495","0,307"
22/08/2006 03:20:00 p.m.,"1,52","2,734","0,084","0,423"
13/09/2006 03:00:00 p.m.,"1,48","1,551","0,235","0,808"
19/10/2006 03:00:00 p.m.,"1,49","1,785","0,15","0,553"
27/11/2006 03:00:00 p.m.,"1,825","14,644","2,525","0,945"
12/12/2006 01:30:00 p.m.,"2,015","26,262","22,239","3,354"
19/12/2006 02:30:00 p.m.,"1,95","21,941","40,876","2,304"
03/01/2007 01:25:00 p.m.,"2,12","33,524","28,339","12,265"
24/01/2007 02:45:00 p.m.,"2,03","35,794","16,742","15,633"
07/02/2007 02:40:00 p.m.,"2,18","40,954","28,393","17,284"
26/02/2007 02:10:00 p.m.,"1,95","15,324","0,995","28,496"
02/03/2007 03:00:00 p.m.,"2,34","99,631","139,006","180,311"
29/03/2007 02:25:00 p.m.,"2,33","44,576","49,929","7,837"
11/04/2007 12:00:00 p.m.,"1,84","15,951","3,512","1,662"
17/04/2007 12:00:00 p.m.,"1,8","15,039","2,302","1,761"
09/05/2007 04:15:00 p.m.,"2,14","34,761","22,356","11,852"
30/05/2007 03:30:00 p.m.,"1,9","17,469","5,699","1,755"
13/06/2007 09:30:00 a.m.,"1,7","8,326","0,638","0,408"
05/07/2007 03:30:00 p.m.,"1,66","7,264","0,486","0,247"
14/08/2007 03:30:00 p.m.,"1,58","3,563","0,096","0,182"
18/09/2007 04:00:00 p.m.,"1,56","3,013","0,085","0,187"
04/10/2007 04:30:00 p.m.,"1,53","4,365","0,069","0,174"
06/11/2007 03:30:00 p.m.,"1,66","16,372","1,044","1,297"
04/12/2007 11:30:00 a.m.,"1,89","32,542",,
06/12/2007 01:00:00 p.m.,"2,42","138,458","86,403","181,258"
10/12/2007 03:30:00 p.m.,"1,82","34,126",,
13/12/2007 04:00:00 p.m.,"1,9","36,161",,
17/12/2007 03:30:00 p.m.,"2,1","57,963","33,308","13,963"
20/12/2007 03:30:00 p.m.,"1,83","31,047",,
24/12/2007 11:40:00 a.m.,"1,79","29,036",,
26/12/2007 12:10:00 p.m.,"2,01","50,652",,
10/01/2008 03:00:00 p.m.,"2,26","81,627","36,861","55,063"
22/01/2008 03:30:00 p.m.,"2,22","71,992","75,412","34,73"
12/02/2008 03:20:00 p.m.,"2,21","62,397","20,251","17,089"
26/02/2008 11:00:00 a.m.,"2,325","75,971","100,689","22,037"
03/03/2008 04:00:00 p.m.,"2,1","54,604","3,973","6,551"
07/03/2008 09:00:00 a.m.,"2,89","190,254","207,45","216,224"
10/03/2008 03:00:00 p.m.,"2,57","126,04","51,91","55,174"
13/03/2008 04:00:00 p.m.,"2,45","148,583","150,428","132,453"
17/03/2008 03:00:00 p.m.,"2,25","93,195","24,923","28,755"
20/03/2008 04:00:00 p.m.,"2,21","29,746","3,9","3,811"
24/03/2008 03:30:00 p.m.,"2,4","44,75","7,161","9,944"
30/03/2008 04:30:00 p.m.,"2,59","179,943","168,629","167,159"
08/04/2008 03:00:00 p.m.,"2,915","140,418","118,721","313,421"
14/04/2008 03:00:00 p.m.,"2,08","26,372","1,734","1,924"
24/04/2008 03:00:00 p.m.,"1,9","15,451","0,566","0,917"
29/04/2008 03:30:00 p.m.,"1,85","13,358","0,526","0,638"
12/05/2008 02:30:00 p.m.,"1,85","12,742","0,759","0,639"
04/06/2008 02:30:00 p.m.,"1,78","11,195","0,568","0,435"
02/07/2008 03:30:00 p.m.,"1,7","5,736","0,156","0,371"
12/08/2008 02:00:00 p.m.,"1,65","4,808","0,087","0,447"
02/09/2008 12:40:00 p.m.,"1,61","4,17","0,08","0,768"
02/10/2008 01:10:00 p.m.,"1,57","2,576","0,026","0,132"
23/10/2008 12:30:00 p.m.,"2,19","25,737","2,637","15,89"
06/11/2008 03:30:00 p.m.,"1,62","3,896","0,076","0,202"
13/11/2008 12:20:00 p.m.,"1,7","6,574","0,203","0,411"
20/11/2008 02:30:00 p.m.,"1,67","5,249","0,457","0,317"
27/11/2008 02:30:00 p.m.,"1,66","5,027","0,282","0,298"
01/12/2008 03:20:00 p.m.,"2,05","16,591","1,046","1,622"
04/12/2008 02:30:00 p.m.,"2,15","24,905","1,484","3,083"
09/12/2008 03:30:00 p.m.,"1,74","10,237","0,421","0,59"
11/12/2008 11:10:00 a.m.,"1,98","17,443","0,998","2,222"
16/12/2008 09:30:00 a.m.,"2,02","18,514","155,516","2,362"
18/12/2008 02:20:00 p.m.,"1,86","13,116","2,409","1,087"
22/12/2008 04:30:00 p.m.,"2,865","137,637","2,702","17,735"
29/12/2008 02:00:00 p.m.,"1,84","14,665","1,693","0,974"
05/01/2009 03:30:00 p.m.,"1,85","12,716","0,82","0,71"
08/01/2009 03:30:00 p.m.,"1,79","9,652","0,32","0,5"
12/01/2009 03:00:00 p.m.,"1,8","11,302","1,714","0,561"
16/01/2009 08:30:00 a.m.,"1,79","10,447","0,657","0,456"
19/01/2009 11:30:00 a.m.,"2,45","39,565","4,469","4,943"
22/01/2009 04:00:00 p.m.,"1,91","15,081","0,606","0,918"
27/01/2009 12:30:00 p.m.,"2,185","29,259","2,937","8,202"
29/01/2009 12:00:00 p.m.,"2,245","34,479","2,199","6,844"
02/02/2009 12:20:00 p.m.,"1,94","17,881","1,219","1,785"
05/02/2009 12:30:00 p.m.,"2,08","25,657","1,163","4,062"
10/02/2009 01:10:00 p.m.,"2,42","40,714","3,604","6,923"
12/02/2009 12:00:00 p.m.,"2,37","44,3","6,453","7,874"
16/02/2009 03:00:00 p.m.,"2,15","29,261","1,691","2,439"
19/02/2009 02:30:00 p.m.,"2,01","20,329","0,812","2,183"
23/02/2009 02:00:00 p.m.,"2,565","61,698","16,618","59,506"
26/02/2009 01:30:00 p.m.,"2,1","31,73","6,696","8,351"
03/03/2009 12:40:00 p.m.,"1,86","18,157","1,45","2,072"
05/03/2009 12:45:00 p.m.,"2,34","41,547","8,131","22,367"
11/03/2009 01:15:00 p.m.,"2,43","53,485","20,585","39,216"
12/03/2009 12:15:00 p.m.,"2,38","45,937","8,687","19,808"
16/03/2009 01:20:00 p.m.,"2,02","22,43","3,252","2,957"
19/03/2009 01:10:00 p.m.,"1,94","19,655","3,007","1,715"
26/03/2009 12:30:00 p.m.,"2,11","25,869","4,676","5,314"
27/03/2009 11:50:00 a.m.,"2,01","21,942","3,399","2,985"
06/04/2009 12:40:00 p.m.,"2,19","32,554","5,413","9,323"
13/04/2009 01:30:00 p.m.,"1,92","17,453","1,203","1,623"
16/04/2009 02:00:00 p.m.,"1,8","12,067","0,591","0,779"
20/04/2009 02:10:00 p.m.,"1,81","14,537","0,721","1,143"
06/05/2009 02:00:00 p.m.,"1,83","14,11","0,34","0,906"
04/06/2009 02:30:00 p.m.,"1,78","10,62","0,116","0,461"
02/07/2009 12:30:00 p.m.,"1,62","5,072","0,176","0,366"
11/08/2009 12:50:00 p.m.,"1,6","4,399","0,285","1,021"
15/09/2009 02:40:00 p.m.,"1,5","1,821","0,031","0,145"
09/10/2009 03:20:00 p.m.,"1,41","0,622","0,003","0,014"
22/10/2009 12:10:00 p.m.,"1,42","0,096","0,001","0,002"
06/11/2009 12:10:00 p.m.,"1,4","0,037",0,"0,001"
09/11/2009 01:00:00 p.m.,"1,39","0,038",0,"0,001"
16/11/2009 09:35:00 a.m.,"1,38","0,036",0,"0,001"
23/11/2009 12:00:00 p.m.,"1,57","3,293","0,043","0,143"
01/12/2009 11:50:00 a.m.,"2,11","24,519","3,158","4,819"
07/12/2009 12:40:00 p.m.,"2,02","20,662","1,953","3,346"
10/12/2009 12:10:00 p.m.,"1,81","11,482","1,139","1,173"
16/12/2009 12:20:00 p.m.,"1,86","14,262","1,561","2,356"
07/01/2010 01:00:00 p.m.,"2,71","118,076","168,495","235,076"
13/01/2010 12:50:00 p.m.,"2,41","66,432","59,842","114,119"
22/01/2010 12:00:00 p.m.,"1,86","17,672","1,1","1,613"
27/01/2010 11:40:00 a.m.,"1,71","12,23","0,201","0,755"
03/02/2010 12:30:00 p.m.,"1,81","14,954","3,532","2,075"
10/02/2010 12:20:00 p.m.,"2,02","23,862","1,535","4,838"
17/02/2010 12:25:00 p.m.,"2,53","88,588","1,688","12,277"
25/02/2010 01:00:00 p.m.,"3,13","215,797","239,864","732,436"
03/03/2010 01:10:00 p.m.,"2,16","29,306","2,825","4,594"
05/03/2010 11:55:00 a.m.,"2,16","30,321","8,308","5,862"
09/03/2010 11:10:00 a.m.,"1,97","14,734","2,081","1,419"
12/03/2010 12:10:00 p.m.,"2,3","20,928","2,498","4,828"
15/03/2010 01:10:00 p.m.,"2,34","23,003","3,706","6,377"
19/03/2010 04:00:00 p.m.,"2,26","19,89","2,283","2,624"
23/03/2010 03:00:00 p.m.,"2,48","33,044","1,817","7,535"
26/03/2010 12:05:00 p.m.,"2,41","26,651","3,339","5,338"
06/04/2010 12:30:00 p.m.,"2,38","24,292","3,825","3,53"
09/04/2010 11:30:00 a.m.,"2,14","28,059","1,004","2,006"
12/04/2010 12:15:00 p.m.,"2,02","18,381","0,789","1,454"
15/04/2010 12:45:00 p.m.,"2,05","19,364","0,911","1,209"
05/05/2010 11:50:00 a.m.,"1,8","10,379","0,108","0,351"
04/06/2010 12:20:00 p.m.,"1,75","7,214","0,579","0,388"
02/07/2010 12:00:00 p.m.,"1,71","5,212","0,155","0,471"
05/08/2010 12:00:00 p.m.,"1,69","5,158","0,379","0,475"
10/09/2010 11:30:00 a.m.,"1,63","3,598","0,115","0,344"
06/10/2010 11:40:00 a.m.,"1,6","2,365","0,019","0,06"
20/10/2010 01:00:00 p.m.,"1,65","3,392","0,295","0,544"
02/11/2010 03:00:00 p.m.,"1,59","2,537","0,022","0,084"
11/11/2010 12:30:00 p.m.,"1,5","0,524","0,002","0,005"
15/11/2010 10:20:00 a.m.,"1,48","0,43","0,003","0,008"
24/11/2010 12:10:00 p.m.,"1,975","13,059","2,078","3,66"
01/12/2010 11:35:00 a.m.,"1,82","8,424","0,295","0,826"
06/12/2010 11:20:00 a.m.,"1,81","9,188","1,346","1,235"
09/12/2010 10:40:00 a.m.,"1,74","7,089","0,397","0,9"
