Estacion: Ruta Provincial Nº 157 - rio Chico,,,,
Parametro: Aforos,,,,
,water level,Discharge,Coarse flow ,Fine flow
Fecha y Hora,Altura Escala [m],Caudal Liquido [m3/s],Caudal Solido Grueso [kg/s],Caudal Solido Fino [kg/s]
30/05/2004 11:45:00 a.m.,"1,41","16,007","56,421","2,297"
26/06/2004 10:00:00 a.m.,"1,34","11,227","1,723","0,758"
21/07/2004 10:00:00 a.m.,"1,28","8,089","0,716","0,156"
20/08/2004 09:25:00 a.m.,"1,24","7,013","0,106","4,801"
16/09/2004 11:50:00 a.m.,"1,2","3,314","0,126","0,052"
14/10/2004 08:50:00 a.m.,"1,1","0,883","0,022","0,02"
18/11/2004 10:10:00 a.m.,"1,41","14,431","4,173","1,814"
02/12/2004 11:10:00 a.m.,"1,32","8,242","0,622","1,08"
16/12/2004 09:45:00 a.m.,"1,35","11,93","0,838","1,794"
06/01/2005 10:50:00 a.m.,"1,5","20,142","5,603","9,898"
20/01/2005 09:20:00 a.m.,"1,37","14,816","5,382","5,537"
03/02/2005 09:10:00 a.m.,"1,42","16,164","3,946","7,896"
17/02/2005 09:00:00 a.m.,"1,4","13,138","1,928","24,464"
03/03/2005 09:55:00 a.m.,"1,75","35,762","3,636","24,571"
17/03/2005 10:30:00 a.m.,"1,58","26,254","8,715","14,41"
07/04/2005 09:18:00 a.m.,"1,72","40,588","27,909","12,109"
22/04/2005 09:55:00 a.m.,"1,735","38,117","15,856","8,691"
04/05/2005 11:25:00 a.m.,"1,52","21,265","6,721","1,991"
19/05/2005 10:30:00 a.m.,"1,46","16,261","3,48","1,221"
16/06/2005 03:00:00 p.m.,"1,47","17,103","4,864","1,595"
05/07/2005 03:00:00 p.m.,"1,38","10,964","4,638","0,263"
12/08/2005 09:15:00 a.m.,"1,28","5,825","3,137","0,177"
09/09/2005 02:50:00 p.m.,"1,3","5,294","0,484","0,162"
11/10/2005 01:00:00 p.m.,"1,21","2,682","0,187","0,045"
22/11/2005 11:30:00 a.m.,"1,37","9,826","1,109","1,473"
06/12/2005 11:30:00 a.m.,"1,43","12,124","1,432","1,385"
27/12/2005 11:15:00 a.m.,"1,77","34,261","29,276","8,292"
09/01/2006 03:15:00 p.m.,"1,43","13,059","2,763","1,702"
24/01/2006 02:15:00 p.m.,"2,2","93,496","70,844","89,62"
07/02/2006 08:00:00 a.m.,"1,63","29,39","12,918","24,405"
21/02/2006 10:30:00 a.m.,"1,56","24,669","4,241","4,041"
08/03/2006 01:40:00 p.m.,"1,48","15,878","5,336","1,757"
17/03/2006 01:30:00 p.m.,"1,875","49,99","183,094","28,792"
07/04/2006 12:15:00 p.m.,"2,125","68,229","26,847","46,868"
26/04/2006 12:00:00 p.m.,"1,5","19,283","0,39","0,866"
09/05/2006 11:30:00 a.m.,"1,85","41,557","31,931","10,203"
23/05/2006 11:20:00 a.m.,"1,475","14,251","2,966","0,835"
08/06/2006 11:15:00 a.m.,"1,41","11,017","1,71","0,412"
06/07/2006 11:00:00 a.m.,"1,38","8,213","0,452","0,146"
22/08/2006 11:45:00 a.m.,"1,3","4,621","0,243","0,047"
13/09/2006 11:10:00 a.m.,"1,26","4,208","0,089","0,028"
19/10/2006 11:40:00 a.m.,"1,29","4,238","1,144","0,75"
27/11/2006 11:30:00 a.m.,"1,485","15,529","2,248","3,704"
12/12/2006 10:45:00 a.m.,"1,7","36,432","7,852","5,675"
